country,region,project_id,code,year,work_type,length_km,cost_million_usd,unit_cost_million_usd_per_km
Afghanistan,South Asia,P078284,P078284C2,2008,Upgrading,61.0,28.03,0.4595081967213115
Afghanistan,South Asia,P082472,P082472C1,2008,Reconstruction,1516.7,37.61,0.02479725720313839
Albania,Europe and Central Asia,P078949,P078949C1S1,2011,New 4L Expressway,9.0,14.48,1.608888888888889
Albania,Europe and Central Asia,P078949,P078949C1S2,2011,New 4L Expressway,9.0,10.32,1.1466666666666667
Albania,Europe and Central Asia,P078949,P078949C1S3,2011,New 4L Expressway,8.0,13.64,1.705
Albania,Europe and Central Asia,P107833,P107833C1S1,2013,Reconstruction,10.9,1.79,0.16422018348623854
Albania,Europe and Central Asia,P107833,P107833C1S2,2013,Reconstruction,6.6,2.01,0.3045454545454545
Albania,Europe and Central Asia,P107833,P107833C1S3,2013,Reconstruction,10.5,2.14,0.20380952380952383
Albania,Europe and Central Asia,P107833,P107833C2S1,2013,Reconstruction,12.6,1.45,0.11507936507936507
Albania,Europe and Central Asia,P107833,P107833C2S2,2013,Reconstruction,9.8,1.93,0.19693877551020406
Albania,Europe and Central Asia,P107833,P107833C2S3,2013,Reconstruction,12.8,2.81,0.21953124999999998
Albania,Europe and Central Asia,P107833,P107833C2S4,2013,Reconstruction,11.5,2.92,0.2539130434782609
Albania,Europe and Central Asia,P107833,P107833C2S5,2013,Reconstruction,11.8,2.19,0.18559322033898304
Albania,Europe and Central Asia,P107833,P107833C2S6,2013,Reconstruction,9.0,1.64,0.1822222222222222
Albania,Europe and Central Asia,P107833,P107833C2S7,2013,Reconstruction,7.8,1.97,0.25256410256410255
Albania,Europe and Central Asia,P107833,P107833C2S8,2013,Reconstruction,5.4,0.86,0.15925925925925924
Angola,Sub-Saharan Africa,P095229,P095229C1S1,2014,Reconstruction,200.0,20.0,0.1
Armenia,Europe and Central Asia,P115486,P115486C1,2014,Reconstruction,446.0,116.598226,0.26143099999999997
Azerbaijan,Europe and Central Asia,P040716,P040716C1S1,2009,Reconstruction,21.3,7.5,0.352112676056338
Azerbaijan,Europe and Central Asia,P040716,P040716C1S2,2009,Reconstruction,72.7,30.8,0.4236588720770289
Azerbaijan,Europe and Central Asia,P094488,P094488C1S2,2005,Reconstruction,124.0,142.5,1.1491935483870968
Bangladesh,South Asia,P071435,P071435C2,2013,Upgrading,515.0,25.507887978476216,0.04952987956985673
Belize,Latin America and Caribbean,P040150,P040150C1S1,2006,Upgrading,20.0,8.68,0.434
Benin,Sub-Saharan Africa,AfDB-P-BJ-DB0-010 ,AfDB-P-BJ-DB0-010 C1,2011,New 2L Highway,125.0,42.339825371932356,0.33871860297545886
Benin,Sub-Saharan Africa,"AfDB loan number: F/BEN/ROD/92/27
","AfDB loan number: F/BEN/ROD/92/27
C1",1999,New 2L Highway,2.3,9.962805957543567,4.331654764149378
Bhutan,South Asia,P059481,P059481C1,2006,New 1L Road,128.76,12.6,0.097856477166822
Bhutan,South Asia,P100332,P100332C1,2013,New 1L Road,90.0,10.84,0.12044444444444444
Bhutan,South Asia,P100332,P100332C1S1,2013,New 1L Road,11.83,1.66,0.14032121724429417
Bhutan,South Asia,P100332,P100332C1S2,2013,New 1L Road,26.1,3.19,0.12222222222222222
Bhutan,South Asia,P100332,P100332C1S3,2013,New 1L Road,29.0,4.04,0.1393103448275862
Bolivia,Latin America and Caribbean,P068968,P068968C1,2011,Reconstruction,353.0,42.5,0.12039660056657224
Brazil,Latin America and Caribbean,P106663,P106663C1,2015,Reconstruction,6409.0,1010.25,0.15762989545951006
Bulgaria,Europe and Central Asia,P094018,P094018C1,2014,New 4L Expressway,3.4,14.71,4.326470588235295
Burkina Faso,Sub-Saharan Africa,P074030,P074030C1,2014,Reconstruction,2678.0,130.1,0.048581030619865566
Burkina Faso,Sub-Saharan Africa,AfDB loan number: F/BUF/RTE/92/19,AfDB loan number: F/BUF/RTE/92/19C1,1999,Upgrading,134.4,7.312121359775211,0.05440566487927984
Burundi,Sub-Saharan Africa,P064876,P064876C1,2016,Reconstruction,161.8,42.388,0.2619777503090235
Burundi,Sub-Saharan Africa,P064876,P064876C2,2016,Gravel Resurfacing,355.0,8.119,0.022870422535211266
Cambodia,East Asia and Pacific,P071207,P071207C1S1,2012,Upgrading,19.8,1.61,0.08131313131313131
Cambodia,East Asia and Pacific,P071207,P071207C1S10,2012,Upgrading,8.0,0.42,0.0525
Cambodia,East Asia and Pacific,P071207,P071207C1S2,2012,Upgrading,12.0,1.29,0.1075
Cambodia,East Asia and Pacific,P071207,P071207C1S3,2012,Upgrading,13.5,0.95,0.07037037037037036
Cambodia,East Asia and Pacific,P071207,P071207C1S4,2012,Upgrading,15.2,1.06,0.06973684210526317
Cambodia,East Asia and Pacific,P071207,P071207C1S5,2012,Upgrading,15.5,1.31,0.08451612903225807
Cambodia,East Asia and Pacific,P071207,P071207C1S6,2012,Upgrading,18.5,1.49,0.08054054054054054
Cambodia,East Asia and Pacific,P071207,P071207C1S7,2012,Upgrading,29.0,1.1,0.03793103448275863
Cambodia,East Asia and Pacific,P071207,P071207C1S8,2012,Upgrading,12.6,0.71,0.05634920634920635
Cambodia,East Asia and Pacific,P071207,P071207C1S9,2012,Reconstruction,17.0,0.63,0.03705882352941176
Cameroon,Sub-Saharan Africa,AfDB loan number: B/CAM/RTE/89/16,AfDB loan number: B/CAM/RTE/89/16C1S1,1998,Upgrading,15.8,4.0727349775404695,0.25776803655319425
Cape Verde,Sub-Saharan Africa,P087004,P087004C1S1,2014,Upgrading,3.0,0.75,0.25
Cape Verde,Sub-Saharan Africa,P087004,P087004C1S2,2014,Upgrading,11.0,4.18,0.37999999999999995
Cape Verde,Sub-Saharan Africa,P087004,P087004C1S3,2014,Upgrading,27.0,12.06,0.4466666666666667
Chad,Sub-Saharan Africa,P035672,P035672C1S2,2009,Upgrading,286.0,44.0,0.15384615384615385
China,East Asia and Pacific,P045915,P045915C1,2008,New 6L Expressway,31.25,216.4,6.9248
China,East Asia and Pacific,P058845,P058845C1S1,2007,New 4L Expressway,128.0,271.0,2.1171875
China,East Asia and Pacific,P058845,P058845C2,2007,Upgrading,182.0,26.8,0.14725274725274726
China,East Asia and Pacific,P070519,P070519C1S1,2013,New 6L Expressway,11.6,326.25,28.125
China,East Asia and Pacific,P070519,P070519C1S2,2013,New 4L Expressway,4.1,32.68,7.970731707317074
China,East Asia and Pacific,P076714,P076714C1,2009,New 4L Expressway,116.12,510.2489019033675,4.394151755971128
China,East Asia and Pacific,P076714,P076714C1S1,2009,New 4L Expressway,65.09,236.896046852123,3.6395152381644333
China,East Asia and Pacific,P076714,P076714C1S2,2009,New 4L Expressway,41.3,216.5446559297218,5.24321200798358
China,East Asia and Pacific,P076714,P076714C1S3,2009,New 4L Expressway,9.73,56.66178623718887,5.823410712969051
China,East Asia and Pacific,P076714,P076714C2,2009,Upgrading,233.5,52.781844802342604,0.22604644454964712
China,East Asia and Pacific,P076714,P076714C2S1,2009,Upgrading,74.1,14.39238653001464,0.19422923792192498
China,East Asia and Pacific,P076714,P076714C2S2,2009,Upgrading,39.0,9.721815519765741,0.24927732101963437
China,East Asia and Pacific,P076714,P076714C2S3,2009,Upgrading,36.4,10.893118594436311,0.2992614998471514
China,East Asia and Pacific,P076714,P076714C2S4,2009,Upgrading,32.7,9.575402635431919,0.29282576866764276
China,East Asia and Pacific,P076714,P076714C2S5,2009,Upgrading,51.3,8.199121522693996,0.1598269302669395
China,East Asia and Pacific,P081749,P081749C1,2010,New 4L Expressway,106.4,600.1479,5.640487781954888
China,East Asia and Pacific,P081749,P081749C2S1,2010,Upgrading,85.18,21.961932650073205,0.2578296859600047
China,East Asia and Pacific,P091020,P091020C1,2015,New 4L Expressway,195.0,1164.65,5.972564102564103
China,East Asia and Pacific,P099112,P099112C2,2012,Upgrading,320.6,214.771,0.6699033063006862
China,East Asia and Pacific,P058844,P058844C1,2007,New 4L Expressway,95.0,267.5,2.8157894736842106
China,East Asia and Pacific,P058844,P058844C2,2007,Upgrading,373.0,38.9,0.10428954423592493
China,East Asia and Pacific,P058847,P058847C2,2010,Upgrading,620.0,51.84,0.08361290322580646
China,East Asia and Pacific,P068752,P068752C2,2011,Upgrading,690.0,117.02,0.1695942028985507
China,East Asia and Pacific,P068752,P068752C2S1,2011,Upgrading,74.2,18.33103448275862,0.24704898224742075
China,East Asia and Pacific,P068752,P068752C2S2,2011,Upgrading,135.9,17.682758620689654,0.13011595747380172
China,East Asia and Pacific,P068752,P068752C2S3,2011,Upgrading,118.0,31.779310344827586,0.26931618936294566
China,East Asia and Pacific,P068752,P068752C2S4,2011,Upgrading,81.7,9.62758620689655,0.11784071244671421
China,East Asia and Pacific,P068752,P068752C2S5,2011,Upgrading,21.5,2.3310344827586205,0.10842020850040095
China,East Asia and Pacific,P069852,P069852C2,2010,Reconstruction,70.83000000000001,51.71,0.7300578850769447
China,East Asia and Pacific,P070441,P070441C1,2008,New 4L Expressway,243.5,802.61,3.296139630390144
China,East Asia and Pacific,P070441,P070441C2,2008,Upgrading,259.0,42.0,0.16216216216216217
China,East Asia and Pacific,P070459,P070459C1,2008,New 4L Expressway,90.0,169.05,1.8783333333333334
China,East Asia and Pacific,P070459,P070459C2,2008,Upgrading,664.0,81.65,0.12296686746987953
China,East Asia and Pacific,P070459,P070459C2S1,2008,Upgrading,70.0,9.22705314009662,0.13181504485852313
China,East Asia and Pacific,P070459,P070459C2S2,2008,Upgrading,54.0,5.2898550724637685,0.09796027911969941
China,East Asia and Pacific,P070459,P070459C2S3,2008,Upgrading,86.0,6.183574879227053,0.07190203347938434
China,East Asia and Pacific,P070459,P070459C2S4,2008,Upgrading,48.0,8.309178743961354,0.17310789049919487
China,East Asia and Pacific,P075613,P075613C1,2013,New 4L Expressway,87.0,1096.66,12.60528735632184
China,East Asia and Pacific,P075613,P075613C2,2013,Upgrading,1480.0,77.59,0.05242567567567568
China,East Asia and Pacific,P093906,P093906C1,2011,New 4L Expressway,117.1,715.06,6.106404782237404
China,East Asia and Pacific,P093906,P093906C2,2011,Upgrading,39.0,16.7,0.4282051282051282
China,East Asia and Pacific,P101258,P101258C1,2016,New 4L Expressway,173.6,2000.66,11.524539170506912
China,East Asia and Pacific,Project number: 42017-013,Project number: 42017-013C1S1,2016,New 4L Expressway,206.26,86.03313253012048,0.41711011601920145
China,East Asia and Pacific,Project number: 42017-013,Project number: 42017-013C1S2,2016,Upgrading,127.92,7.115963855421687,0.05562823526752413
China,East Asia and Pacific,Project number: 42017-013,Project number: 42017-013C1S3,2016,New 2L Highway,12.88,14.926204819277109,1.1588668337948065
Croatia,Europe and Central Asia,P043195,P043195C3,2013,New 4L Expressway,6.36,117.4,18.459119496855347
Djibouti,Middle East and North Africa,P069930,P069930C1,2006,Reconstruction,98.0,13.7,0.13979591836734692
Estonia,Europe and Central Asia,P035775,P035775C1,2005,Reconstruction,240.0,49.29,0.205375
Ethiopia,Sub-Saharan Africa,P044613,P044613C1S1,2010,Upgrading,127.0,49.72,0.39149606299212597
Ethiopia,Sub-Saharan Africa,P044613,P044613C1S3,2010,Upgrading,98.9,33.33,0.3370070778564206
Ethiopia,Sub-Saharan Africa,P044613,P044613C1S4,2010,Upgrading,108.0,43.75,0.4050925925925926
Ethiopia,Sub-Saharan Africa,P044613,P044613C2,2010,New 1L Road,99.0,19.43,0.19626262626262625
Ethiopia,Sub-Saharan Africa,P082998,P082998C1S1,2012,Upgrading,246.0,196.53,0.7989024390243903
Ethiopia,Sub-Saharan Africa,P082998,P082998C1S2,2012,Upgrading,86.0,48.69,0.5661627906976744
Ethiopia,Sub-Saharan Africa,P082998,P082998C1S3,2012,Upgrading,108.0,79.18,0.7331481481481482
Ethiopia,Sub-Saharan Africa,P082998,P082998C1S4,2007,Upgrading,83.0,108.85,1.3114457831325301
