iso3,name,wb_region,rocks_region,income_level,price_book,paved_share,paved_share_source,gdp_pc_ppp_2015,gdp_pc_ppp_latest,eu28_ratio_2015,usa_ratio_latest
ABW,Aruba,Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,35972.8596619304,51712.1531358934,0.9243480264739888,0.5744102433469755
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",South Asia,LIC,rocks_region,0.2,income_group_default:LIC,2284.07584789349,2236.19907311431,0.0586909415086505,0.02483933806400151
AGO,Angola,Sub-Saharan Africa,Sub-Saharan Africa,LMC,rocks_region,0.4,income_group_default:LMC,8067.48584683702,10251.3457063657,0.20729974461892597,0.11387029208304814
ALB,Albania,Europe & Central Asia,Europe and Central Asia,UMC,rocks_region,0.65,income_group_default:UMC,12386.6003347481,28220.7950617158,0.3182824407552825,0.31347203270083374
AND,Andorra,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,50733.2390023674,79566.7925868466,1.3036263947094548,0.8838150786729814
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",Middle East and North Africa,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,73986.0815808827,79343.7793099888,1.901124601673175,0.8813378832196638
ARG,Argentina,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,19899.1499275245,32586.6312086783,0.5113227065315338,0.36196703535523106
ARM,Armenia,Europe & Central Asia,Europe and Central Asia,UMC,rocks_region,0.65,income_group_default:UMC,9756.84084836026,24754.2118320452,0.250708914096896,0.27496578618456724
ASM,American Samoa,East Asia & Pacific,East Asia and Pacific,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,,,,
ATG,Antigua and Barbuda,Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,20985.4388292177,35832.4795485115,0.5392356667992809,0.3980213943731474
AUS,Australia,East Asia & Pacific,East Asia and Pacific,HIC,national,0.9,income_group_default:HIC,46464.5867627929,71934.4033931263,1.193940361671326,0.7990357324608298
AUT,Austria,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,49549.3162311441,76777.5421537618,1.2732046632329321,0.8528325354434706
AZE,Azerbaijan,Europe & Central Asia,Europe and Central Asia,UMC,rocks_region,0.65,income_group_default:UMC,15075.2726347911,26112.5306828203,0.38736977375400306,0.2900537725533837
BDI,Burundi,Sub-Saharan Africa,Sub-Saharan Africa,LIC,rocks_region,0.2,income_group_default:LIC,722.032898379933,1248.05425025467,0.01855314509157847,0.013863184998603652
BEL,Belgium,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,46071.914889496,74675.607672673,1.1838503806538327,0.8294845867783128
BEN,Benin,Sub-Saharan Africa,Sub-Saharan Africa,LMC,rocks_region,0.4,income_group_default:LMC,2725.33724817144,4816.87504692826,0.07002946472696792,0.05350506989347457
BFA,Burkina Faso,Sub-Saharan Africa,Sub-Saharan Africa,LIC,rocks_region,0.2,income_group_default:LIC,1691.57935387408,3071.62546744866,0.043466325782056094,0.0341191194957864
BGD,Bangladesh,South Asia,South Asia,LMC,rocks_region,0.4,income_group_default:LMC,4212.23578089428,10153.7083791829,0.10823637230134539,0.11278575242523427
BGR,Bulgaria,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,18896.1145714262,44451.1001576913,0.48554900489628977,0.49375563983039167
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",Middle East and North Africa,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,48034.2468880503,70996.7821254802,1.234273886796994,0.788620786885066
BHS,"Bahamas, The",Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,32137.5784729905,41257.7650774105,0.8257977685493685,0.4582845896164846
BIH,Bosnia and Herzegovina,Europe & Central Asia,Europe and Central Asia,UMC,rocks_region,0.65,income_group_default:UMC,11845.4600112171,25814.2641520511,0.3043774580877318,0.28674067611218224
BLR,Belarus,Europe & Central Asia,Europe and Central Asia,UMC,rocks_region,0.65,income_group_default:UMC,18133.5313085883,34715.9778689211,0.46595388956070566,0.38561947407821223
BLZ,Belize,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,9538.38691146009,14965.7521203147,0.24509558595599087,0.16623715695438074
BMU,Bermuda,North America,North America,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,75943.4642970922,118727.973294368,1.9514209325122076,1.3188111477952467
BOL,Bolivia,Latin America & Caribbean,Latin America and Caribbean,LMC,rocks_region,0.4,income_group_default:LMC,8757.31777115049,12873.0394876629,0.22502546294742243,0.14299164309194495
BRA,Brazil,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,14821.4383174534,23433.2897595431,0.3808473217585955,0.26029319718765553
BRB,Barbados,Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,19190.4652295469,25893.8676913012,0.4931125528733534,0.28762489936685454
BRN,Brunei Darussalam,East Asia & Pacific,East Asia and Pacific,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,62707.8264437741,92429.9262686398,1.611321873282106,1.0266966896735297
BTN,Bhutan,South Asia,South Asia,LMC,rocks_region,0.4,income_group_default:LMC,10213.8139608922,19594.0028382994,0.26245116085432013,0.21764701827270844
BWA,Botswana,Sub-Saharan Africa,Sub-Saharan Africa,UMC,rocks_region,0.65,income_group_default:UMC,14143.6940733728,20697.9104661898,0.3634322049077938,0.22990904587582872
CAF,Central African Republic,Sub-Saharan Africa,Sub-Saharan Africa,LIC,rocks_region,0.2,income_group_default:LIC,768.870887999174,1313.8765680523,0.0197566803032751,0.014594328671628461
CAN,Canada,North America,North America,HIC,national,0.9,income_group_default:HIC,44668.1361640155,66745.8248561648,1.1477792952105677,0.7414018402458049
CHE,Switzerland,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,66418.7989292294,102513.347221899,1.706677931306596,1.1387017007259777
CHI,Channel Islands,Europe & Central Asia,Europe and Central Asia,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,,,,
CHL,Chile,Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,22468.3125745547,37774.0879069903,0.5773391546202098,0.4195884663677616
CHN,China,East Asia & Pacific,East Asia and Pacific,UMC,national,0.65,income_group_default:UMC,13463.3331511105,29333.3311051433,0.3459498506636933,0.3258299033498883
CIV,Cote d'Ivoire,Sub-Saharan Africa,Sub-Saharan Africa,LMC,rocks_region,0.4,income_group_default:LMC,4403.64296618998,8208.90898574972,0.11315471506429957,0.09118323492983306
CMR,Cameroon,Sub-Saharan Africa,Sub-Saharan Africa,LMC,rocks_region,0.4,income_group_default:LMC,3497.66067563959,5787.85440270861,0.0898748604694509,0.06429055172350018
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Sub-Saharan Africa,LIC,rocks_region,0.2,income_group_default:LIC,910.393131638657,1919.82250200565,0.02339319427074174,0.021325078220242107
COG,"Congo, Rep.",Sub-Saharan Africa,Sub-Saharan Africa,LMC,rocks_region,0.4,income_group_default:LMC,4715.13431581624,7248.44439070757,0.12115870521122306,0.0805145493635115
COL,Colombia,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,13332.0555048211,22640.4224606513,0.34257657885799986,0.2514861553129636
COM,Comoros,Sub-Saharan Africa,Sub-Saharan Africa,LMC,rocks_region,0.4,income_group_default:LMC,2949.47342240993,4238.26133409182,0.07578880196803897,0.04707792224172489
CPV,Cabo Verde,Sub-Saharan Africa,Sub-Saharan Africa,UMC,rocks_region,0.65,income_group_default:UMC,6773.48679969386,12165.2989335356,0.17404952551688932,0.13513017534654934
CRI,Costa Rica,Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,17525.1404835991,33814.7696296148,0.45032085777817016,0.37560899853901214
CUB,Cuba,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,,,,
CUW,Curacao,Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,24037.6486252583,32740.7736763943,0.6176643524214155,0.36367922498613225
CYM,Cayman Islands,Latin America & Caribbean,Latin America and Caribbean,HIC,hic_gdp_scaled,0.9,income_group_default:HIC,64009.3167970419,92201.086358256,1.6447645867840068,1.0241547729162517
CYP,Cyprus,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,31380.220703125,64574.62109375,0.8063369259449985,0.7172844595935786
CZE,Czechia,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,34093.0280593748,60487.2877495391,0.8760444262527197,0.6718830210822361
DEU,Germany,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,48567.1117562648,75406.6888111618,1.2479662257975725,0.8376053179643106
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Middle East and North Africa,LMC,rocks_region,0.4,income_group_default:LMC,4263.96288890455,8451.96838146073,0.1095655368619016,0.0938830994330812
DMA,Dominica,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,12092.7315992676,22713.1288027433,0.3107312761207045,0.252293765615791
DNK,Denmark,Europe & Central Asia,Europe and Central Asia,HIC,europe_gdp_scaled,0.9,income_group_default:HIC,48897.2099776611,83218.071525634,1.2564483326514004,0.9243728952899963
DOM,Dominican Republic,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,14804.0974069659,28721.0964580217,0.38040173482063666,0.3190292997912933
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Middle East and North Africa,UMC,rocks_region,0.65,income_group_default:UMC,13807.3515841478,18586.2607480579,0.3547896471835466,0.20645318192701537
ECU,Ecuador,Latin America & Caribbean,Latin America and Caribbean,UMC,rocks_region,0.65,income_group_default:UMC,10877.7507461388,16756.6539631307,0.2795114853020776,0.18613020531845
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Middle East and North Africa,LMC,rocks_region,0.4,income_group_default:LMC,10903.3368231185,20204.0130500153,0.2801689376142836,0.22442291316215676
ERI,Eritrea,Sub-Saharan Africa,Sub-Saharan Africa,LIC,rocks_region,0.2,income_group_default:LIC,,,,
