region,work_type,n_support,fill_rule,usd_per_km_2025,usd_per_km_low,usd_per_km_high,source
East Asia and Pacific,New 4L Expressway,15,direct,7634378.95,4204698.87,8606904.40,"ROCKS Actual New 4L Expressway East Asia and Pacific, inflated to 2025 USD"
East Asia and Pacific,New 2L Highway,2,regional_n2,1528271.75,1521019.69,1535523.81,"ROCKS Actual New 2L Highway East Asia and Pacific, inflated to 2025 USD (n<3, keep regional)"
East Asia and Pacific,New 1L Road,6,global_lmic_median,177916.11,160425.39,213771.42,"global LMIC ROCKS Actual New 1L Road, inflated to 2025 USD; fill for East Asia and Pacific"
Europe and Central Asia,New 4L Expressway,4,direct,2335443.35,1779087.10,4940056.37,"ROCKS Actual New 4L Expressway Europe and Central Asia, inflated to 2025 USD"
Europe and Central Asia,New 2L Highway,6,global_lmic_median,807000.47,373447.68,1524645.72,"global LMIC ROCKS Actual New 2L Highway, inflated to 2025 USD; fill for Europe and Central Asia"
Europe and Central Asia,New 1L Road,6,global_lmic_median,177916.11,160425.39,213771.42,"global LMIC ROCKS Actual New 1L Road, inflated to 2025 USD; fill for Europe and Central Asia"
Latin America and Caribbean,New 4L Expressway,23,global_lmic_median,6398104.75,3161506.21,8538468.81,"global LMIC ROCKS Actual New 4L Expressway, inflated to 2025 USD; fill for Latin America and Caribbean"
Latin America and Caribbean,New 2L Highway,6,global_lmic_median,807000.47,373447.68,1524645.72,"global LMIC ROCKS Actual New 2L Highway, inflated to 2025 USD; fill for Latin America and Caribbean"
Latin America and Caribbean,New 1L Road,6,global_lmic_median,177916.11,160425.39,213771.42,"global LMIC ROCKS Actual New 1L Road, inflated to 2025 USD; fill for Latin America and Caribbean"
Middle East and North Africa,New 4L Expressway,3,direct,8538468.81,7225072.80,16871014.16,"ROCKS Actual New 4L Expressway Middle East and North Africa, inflated to 2025 USD"
Middle East and North Africa,New 2L Highway,6,global_lmic_median,807000.47,373447.68,1524645.72,"global LMIC ROCKS Actual New 2L Highway, inflated to 2025 USD; fill for Middle East and North Africa"
Middle East and North Africa,New 1L Road,6,global_lmic_median,177916.11,160425.39,213771.42,"global LMIC ROCKS Actual New 1L Road, inflated to 2025 USD; fill for Middle East and North Africa"
South Asia,New 4L Expressway,23,global_lmic_median,6398104.75,3161506.21,8538468.81,"global LMIC ROCKS Actual New 4L Expressway, inflated to 2025 USD; fill for South Asia"
South Asia,New 2L Highway,6,global_lmic_median,807000.47,373447.68,1524645.72,"global LMIC ROCKS Actual New 2L Highway, inflated to 2025 USD; fill for South Asia"
South Asia,New 1L Road,5,direct,166291.36,156978.20,190228.55,"ROCKS Actual New 1L Road South Asia, inflated to 2025 USD"
Sub-Saharan Africa,New 4L Expressway,23,global_lmic_median,6398104.75,3161506.21,8538468.81,"global LMIC ROCKS Actual New 4L Expressway, inflated to 2025 USD; fill for Sub-Saharan Africa"
Sub-Saharan Africa,New 2L Highway,3,direct,713070.75,477419.81,900930.19,"ROCKS Actual New 2L Highway Sub-Saharan Africa, inflated to 2025 USD"
Sub-Saharan Africa,New 1L Road,6,global_lmic_median,177916.11,160425.39,213771.42,"global LMIC ROCKS Actual New 1L Road, inflated to 2025 USD; fill for Sub-Saharan Africa"
